Lines,Lon,VehicleNumber,Time,Lat,Brigade
213,21.102106,1000,2024-02-17 17:25:29,52.222765,5
219,21.1580448,1001,2024-02-17 17:25:48,52.2130496,1
213,21.1660901,1002,2024-02-17 17:25:47,52.2040486,1
213,21.0891363,1003,2024-02-17 17:25:48,52.2203066,4
119,21.2056161,1004,2024-02-17 17:25:49,52.2100663,3
213,21.2302058,1005,2024-02-17 17:25:47,52.1743428,3
213,21.114954,1006,2024-02-17 01:51:06,52.234654,2
119,21.000289,1007,2024-02-17 17:25:34,52.206138,1
L-8,21.1585836,10071,2024-02-17 09:34:00,52.4321588,1
L31,21.1627878,10072,2024-02-16 21:02:03,52.4320136,1
L49,20.883866,10073,2024-02-17 17:05:02,52.4127305,1
L23,21.0176953,10074,2024-02-17 17:25:50,52.0670503,693
L-8,21.138933,10075,2024-02-17 17:24:35,52.3830015,M1
219,21.1566151,1008,2024-02-17 17:25:49,52.1857481,3
119,21.039058,1009,2024-02-17 17:25:47,52.2057426,5
219,21.115273,1010,2024-02-16 22:45:36,52.234659,3
213,21.114953,1011,2024-02-14 18:50:46,52.234814,2
119,21.07236,1012,2024-02-17 17:25:49,52.2036183,2
119,21.1743336,1013,2024-02-17 17:25:41,52.2059718,4
219,21.102451,1014,2024-02-17 17:25:29,52.222728,2
239,20.995775,1020,2024-02-16 20:24:30,52.188538,777
192,20.995831,1021,2024-02-16 20:00:26,52.188499,3
263,20.995176,1022,2024-02-17 11:56:14,52.188168,4
200,20.9955972,1023,2024-02-17 16:46:47,52.1881581,M2
218,21.0247394,1024,2024-02-17 17:25:49,52.1907749,1
163,20.9951702,1025,2024-02-16 19:11:51,52.1882877,03
339,20.995818,1026,2024-02-16 19:59:08,52.1885322,01
208,20.9951762,1027,2024-02-17 16:48:56,52.1884067,05
108,20.9979864,1028,2024-02-16 21:58:07,52.1860974,1
164,20.9959922,1029,2024-02-16 19:51:16,52.1884926,04
192,20.995106,1030,2024-02-17 10:55:52,52.1881809,06
239,20.9979857,1031,2024-02-17 15:45:00,52.1861527,776
163,20.996059,1032,2024-02-17 15:27:54,52.188507,01
263,20.997908,1033,2024-02-17 08:39:59,52.185875,06
192,20.9960304,1034,2024-02-17 15:29:22,52.1884871,2
208,20.9979689,1035,2024-02-17 08:00:46,52.1860646,04
208,20.995876,1036,2024-02-17 15:19:37,52.188499,05
263,21.0416969,1037,2024-02-17 17:25:49,52.148278,3
164,20.9951956,1038,2024-02-17 09:58:18,52.1884056,05
208,20.995343,1039,2024-02-17 12:27:37,52.188195,04
736,20.9349667,1040,2024-02-17 17:25:40,52.3978717,1
107,21.046568,1041,2024-02-15 07:45:40,52.263918,2
107,21.046575,1042,2024-02-16 23:58:17,52.263971,2
212,21.0294633,1043,2024-02-17 17:25:38,52.2604467,5
212,21.0568967,1044,2024-02-17 17:25:48,52.3019233,3
212,21.0481783,1045,2024-02-17 08:42:16,52.2641,4
212,21.041715,1046,2024-02-17 17:25:38,52.28501,2
204,21.046056,1048,2024-02-16 19:31:24,52.264749,04
212,21.04814,1049,2024-02-17 13:08:47,52.264074,1
228,20.92143,1050,2024-02-17 02:06:26,52.196688,2
208,20.919989,1051,2024-02-17 14:57:08,52.197398,2
228,20.919464,1052,2024-02-17 02:16:20,52.196943,3
208,20.945488,1053,2024-02-17 17:25:40,52.207386,2
228,20.918741,1054,2024-02-17 17:25:41,52.210201,2
208,20.975581,1055,2024-02-17 17:25:32,52.210205,591
207,20.918528,1056,2024-02-13 08:52:19,52.196728,4
228,20.9637167,1057,2024-02-17 17:25:45,52.196175,1
207,20.919635,1058,2024-02-13 07:31:20,52.1969033,3
228,20.8931133,1059,2024-02-17 17:25:45,52.2004433,3
108,21.074568,1060,2024-02-17 17:25:47,52.205631,3
192,21.0733705,1061,2024-02-17 17:25:49,52.1356957,M4
263,21.0763362,1062,2024-02-17 17:25:50,52.1818917,2
108,21.0242,1063,2024-02-17 17:25:33,52.179657,399
263,21.0490355,1064,2024-02-17 17:25:42,52.1782719,1
263,20.9953674,1065,2024-02-17 12:21:07,52.1882764,06
218,20.988541,1066,2024-02-17 17:25:50,52.185429,4
192,21.0373157,1067,2024-02-17 17:25:50,52.1544265,M2
218,21.0026047,1068,2024-02-17 17:25:49,52.1790759,2
339,20.9959152,1069,2024-02-17 17:25:49,52.188494,03
107,20.995346,1070,2024-02-16 22:41:08,52.187607,6
263,21.082617,1071,2024-02-17 17:25:47,52.158508,5
263,21.072044,1072,2024-02-17 17:25:49,52.154972,4
200,21.014105,1073,2024-02-17 17:25:49,52.195091,1
192,21.0580981,1074,2024-02-17 17:25:49,52.1399892,M1
108,20.9951731,1075,2024-02-17 12:25:47,52.1883727,5
108,21.0561805,1076,2024-02-17 17:25:48,52.1818805,1
192,21.047234,1077,2024-02-17 17:25:49,52.150829,M3
108,21.0310567,1078,2024-02-17 17:25:49,52.2296819,2
218,21.023714,1079,2024-02-17 17:25:50,52.179924,3
106,21.0447535,1101,2024-02-16 19:50:36,52.2647521,09
173,21.04275,1102,2024-02-17 00:25:19,52.265928,10
178,21.047102,1106,2024-02-16 20:13:41,52.2646778,013
338,21.0482585,1109,2024-02-16 19:13:58,52.264106,02
173,21.044016,1110,2024-02-16 22:26:59,52.2651533,2
169,21.0444408,1112,2024-02-17 14:47:12,52.2648866,4
106,21.044653,1115,2024-02-16 19:40:00,52.2647691,08
169,21.0435538,1117,2024-02-17 17:25:46,52.2773298,4
338,21.0446538,1118,2024-02-16 18:55:22,52.2646858,05
123,21.043028,1119,2024-02-17 15:54:16,52.265988,5
L27,21.1801651,11201,2024-02-16 20:05:07,52.4221525,1
L43,21.179997,11202,2024-02-17 15:55:36,52.4221645,881
